run_date,site,url,strategy,perf_score,field_source,field_overall,field_LCP_ms,field_LCP_cat,field_INP_ms,field_INP_cat,field_CLS,field_CLS_cat,field_FCP_ms,field_FCP_cat,field_TTFB_ms,field_TTFB_cat,lab_LCP_ms,lab_CLS,lab_TBT_ms,lab_FCP_ms,lab_SI_ms,error
2026-08-03,Aptos,https://aptosperioimplants.com/,mobile,100,none,,,,,,,,,,,,1082,0.002,0,1068,1068,
2026-08-03,Aptos,https://aptosperioimplants.com/template/header/,mobile,89,none,,,,,,,,,,,,2781,0.002,0,2256,5125,
2026-08-03,Aptos,https://aptosperioimplants.com/cosmetic-periodontics/,mobile,79,none,,,,,,,,,,,,3451,0.002,0,3151,6761,
2026-08-03,Aptos,https://aptosperioimplants.com/lanap-laser-surgery/,mobile,89,none,,,,,,,,,,,,3376,0.001,0,2401,2401,
2026-08-03,Aptos,https://aptosperioimplants.com/contact/,mobile,93,none,,,,,,,,,,,,3152,0.013,0,1083,1694,
2026-08-03,Aptos,https://aptosperioimplants.com/template/footer/,mobile,96,none,,,,,,,,,,,,1824,0.002,0,1232,4718,
2026-08-03,Aptos,https://aptosperioimplants.com/teeth-in-a-day/,mobile,84,none,,,,,,,,,,,,4436,0.002,0,1078,3292,
2026-08-03,Aptos,https://aptosperioimplants.com/template/title-header/,mobile,99,none,,,,,,,,,,,,1824,0.002,0,1246,2312,
2026-08-03,Aptos,https://aptosperioimplants.com/dental-implants/,mobile,92,none,,,,,,,,,,,,3377,0,0,1352,1930,
2026-08-03,Aptos,https://aptosperioimplants.com/template/aptos-content-alpha/,mobile,97,none,,,,,,,,,,,,1887,0.002,0,1224,4582,
2026-08-03,Aptos,https://aptosperioimplants.com/template/before-charlie-delta/,mobile,95,none,,,,,,,,,,,,2256,0.002,0,1506,4597,
2026-08-03,Aptos,https://aptosperioimplants.com/fixing-failed-implants/,mobile,89,none,,,,,,,,,,,,3078,0.007,0,1353,5484,
2026-08-03,Aptos,https://aptosperioimplants.com/sedation-comfort/,mobile,93,none,,,,,,,,,,,,2930,0,0,1955,2892,
2026-08-03,Aptos,https://aptosperioimplants.com/gum-disease-treatment/,mobile,94,none,,,,,,,,,,,,2873,0.004,0,1108,3523,
2026-08-03,Aptos,https://aptosperioimplants.com/gum-grafting/,mobile,89,none,,,,,,,,,,,,3145,0.001,0,1141,5191,
2026-08-03,Aptos,https://aptosperioimplants.com/bone-grafting/,mobile,85,none,,,,,,,,,,,,4334,0,17,1362,2849,
2026-08-03,Aptos,https://aptosperioimplants.com/about-our-center/,mobile,87,none,,,,,,,,,,,,3081,0.001,0,2106,5671,
2026-08-03,Aptos,https://aptosperioimplants.com/why-choose-us/,mobile,87,none,,,,,,,,,,,,3756,0,0,1956,2134,
2026-08-03,Aptos,https://aptosperioimplants.com/printable-referral-form/,mobile,70,none,,,,,,,,,,,,2862,0.438,0,1093,5747,
2026-08-03,Aptos,https://aptosperioimplants.com/pre-operative-instructions/,mobile,88,none,,,,,,,,,,,,3451,0.003,0,2401,3097,
2026-08-03,Aptos,https://aptosperioimplants.com/post-operative-instructions/,mobile,93,none,,,,,,,,,,,,3162,0.003,0,1119,1893,
2026-08-03,Aptos,https://aptosperioimplants.com/online-referral-form/,mobile,91,none,,,,,,,,,,,,2555,0.015,140,1112,5452,
2026-08-03,Aptos,https://aptosperioimplants.com/office-tour/,mobile,88,none,,,,,,,,,,,,3328,0.0,0,1096,5019,
2026-08-03,Aptos,https://aptosperioimplants.com/local-service-area/watsonville-ca/,mobile,83,none,,,,,,,,,,,,3827,0,0,2402,4296,
2026-08-03,Aptos,https://aptosperioimplants.com/local-service-area/soquel-ca/,mobile,87,none,,,,,,,,,,,,3836,0.002,0,1961,2136,
2026-08-03,Aptos,https://aptosperioimplants.com/local-service-area/scotts-valley-ca/,mobile,77,none,,,,,,,,,,,,4955,0.002,0,1092,5576,
2026-08-03,Aptos,https://aptosperioimplants.com/local-service-area/santa-cruz-ca/,mobile,94,none,,,,,,,,,,,,3093,0.002,0,1100,1881,
2026-08-03,Aptos,https://aptosperioimplants.com/local-service-area/capitola-ca/,mobile,88,none,,,,,,,,,,,,3386,0.002,0,1077,5197,
2026-08-03,Aptos,https://aptosperioimplants.com/local-service-area/,mobile,88,none,,,,,,,,,,,,3152,0.0,0,1652,5581,
2026-08-03,Aptos,https://aptosperioimplants.com/initial-consultation/,mobile,90,none,,,,,,,,,,,,3528,0,0,1653,1945,
2026-08-03,Aptos,https://aptosperioimplants.com/hear-from-our-patients/,mobile,90,none,,,,,,,,,,,,3002,0.002,0,1074,5251,
2026-08-03,Aptos,https://aptosperioimplants.com/finances-insurance/,mobile,94,none,,,,,,,,,,,,2930,0.002,0,1655,2203,
2026-08-03,Aptos,https://aptosperioimplants.com/cutting-edge-technology/,mobile,92,none,,,,,,,,,,,,2702,0.002,0,1068,5214,
2026-08-03,Aptos,https://aptosperioimplants.com/before-and-after-images/,mobile,89,none,,,,,,,,,,,,3602,0.001,0,1652,2786,
2026-08-03,Aptos,https://aptosperioimplants.com/accessibility/,mobile,88,none,,,,,,,,,,,,3002,0,0,2852,4315,
2026-08-03,Aptos,https://aptosperioimplants.com/about-dr-jordan-richert/,mobile,93,none,,,,,,,,,,,,3152,0.001,0,1100,1871,
2026-08-03,Aptos,https://aptosperioimplants.com/template/footer-echo/,mobile,87,none,,,,,,,,,,,,3015,0.002,0,2565,5190,
2026-08-03,Aptos,https://aptosperioimplants.com/template/aptos-mike/,mobile,76,none,,,,,,,,,,,,3984,0.002,0,3609,5779,
2026-08-03,Aptos,https://aptosperioimplants.com/template/aptos-feature-alpha-3/,mobile,89,none,,,,,,,,,,,,2628,0.002,0,2253,5909,
2026-08-03,Aptos,https://aptosperioimplants.com/template/about-beta/,mobile,95,none,,,,,,,,,,,,2196,0.002,0,1521,4696,
2026-08-03,Aptos,https://aptosperioimplants.com/template/feature-section-delta/,mobile,96,none,,,,,,,,,,,,1942,0.002,0,1261,4523,
2026-08-03,Aptos,https://aptosperioimplants.com/template/aptos-feature-alpha-2/,mobile,76,none,,,,,,,,,,,,3981,0.002,0,3606,5564,
2026-08-03,Aptos,https://aptosperioimplants.com/template/aptos-romeo/,mobile,76,none,,,,,,,,,,,,3981,0.002,0,3606,5714,
2026-08-03,Aptos,https://aptosperioimplants.com/template/local-service-page/,mobile,92,none,,,,,,,,,,,,2481,0.002,0,2106,4819,
2026-08-03,Aptos,https://aptosperioimplants.com/template/before-footer/,mobile,87,none,,,,,,,,,,,,3084,0.002,0,2559,5052,
2026-08-03,Aptos,https://aptosperioimplants.com/category/uncategorized/,mobile,94,none,,,,,,,,,,,,2551,0.016,0,2401,2401,
